Team,Player Name,Jersey Number,Height,Weight,Position,Academic Year,Hometown,High School,Club,Bio Link
Kean,Danny Pugliano,15,"6'4""",195 lbs,MB,So.,"Jefferson, N.J.",Jefferson Twp.,Garden State Elite,/sports/mens-volleyball/roster/danny-pugliano/13184
Kean,Rajheem Meulens,19,"6'0""",190 lbs,OH,Jr.,"Phillipsburg, St. Maarten",MAC CSE,,/sports/mens-volleyball/roster/rajheem-meulens/13181
Kean,Brandon Millias,23,"6'3""",185 lbs,S/RS,Jr.,"Syracuse, N.Y.",Cicero-North Syracuse,Syracuse Volleyball club,/sports/mens-volleyball/roster/brandon-millias/13182
Kean,Michael Henneberry,24,"6'6""",170 lbs,MB,Fr.,"Wildwood, Mo.",Lafayette,,/sports/mens-volleyball/roster/michael-henneberry/13188
Kean,Zach Marcheschi,25,"6'0""",200 lbs,RS,Fr.,"Wauconda, Ill.",Carmel Catholic,,/sports/mens-volleyball/roster/zach-marcheschi/13186
Kean,Ryan DiCandilo,26,"6'4""",200 lbs,MB,Sr.,"Quakertown, Pa.",Quakertown Community,Lehigh Power,/sports/mens-volleyball/roster/ryan-dicandilo/13174
Marymount,Esteban Jauregui,1,"6'3""",,OH,So.,"La Paz, Bolivia",Cumbre School,,/sports/mens-volleyball/roster/esteban-jauregui/4737
Marymount,Evan Cao,3,"5'10""",,S,Fy.,"Morrisville, NC",Green Hope,,/sports/mens-volleyball/roster/evan-cao/4747
Marymount,Joseph Crowder,4,"5'10""",,S,Sr.,"Centreville, Va.",Centreville,,/sports/mens-volleyball/roster/joseph-crowder/4738
Marymount,Diego Peña,5,"6'0""",,RS,So.,"Falls Church, Va.",Bishop O'Connell,,/sports/mens-volleyball/roster/diego-pe-a/4739
Marymount,Jonathan Pickering,6,"5'11""",,OH,Fy.,"Cary, NC",Panther Creek,,/sports/mens-volleyball/roster/jonathan-pickering/4751
Marymount,Darvin Guan,7,"5'10""",,OH,Fy.,"Silver Spring, Md.",Kennedy,,/sports/mens-volleyball/roster/darvin-guan/4749
Marymount,Devon Robinson,10,"6'0""",,OH,Sr.,"Richmond, Va.",John Randolph Tucker,,/sports/mens-volleyball/roster/devon-robinson/4740
Marymount,Nickolas Blose,11,"6'3""",,OH,Jr.,"Emmaus, Pa.",Emmaus,,/sports/mens-volleyball/roster/nickolas-blose/4741
Marymount,Michael Schneider,15,"6'2""",,RS,Fy.,"Mechanicsville, Va.",Atlee,,/sports/mens-volleyball/roster/michael-schneider/4755
Marymount,Luke Morris,16,"6'3""",,OH,Sr.,"Bethesda, Md.",Walter Johnson,,/sports/mens-volleyball/roster/luke-morris/4742
Marymount,Gavin Poe,17,"6'6""",,MB,Fy.,"Pittsburgh, Pa.",Seton La Salle,,/sports/mens-volleyball/roster/gavin-poe/4753
Marymount,John Quinlan,19,"6'9""",,MB,Sr.,"West Chester, Pa.",Bishop Shanahan,,/sports/mens-volleyball/roster/john-quinlan/4743
Marymount,Seth Richards,24,"6'8""",,MB,Fy.,"St. Albans, VT",Bellows Free Academy,,/sports/mens-volleyball/roster/seth-richards/4754
Marymount,Luke Pogue,25,"6'7""",,MB,Jr.,"Chambersburg, Pa.",Chambersburg Area Career Magnet School,,/sports/mens-volleyball/roster/luke-pogue/4744
Marymount,Mason Moore,28,"6'4""",,MB,Sr.,"Los Angeles, Calif.",Notre Dame,,/sports/mens-volleyball/roster/mason-moore/4745
Marymount,Will Wright,30,"6'1""",,OH,Jr.,"Woodland Hills, Calif.",Taft Charter,,/sports/mens-volleyball/roster/will-wright/4746
Marymount,Carter Gresham,33,"5'11""",,S,Fy.,"Chesapeake, Va.",Western Branch,,/sports/mens-volleyball/roster/carter-gresham/4748
EasternMennonite,Ricardo Fernandez Perez,1,"5'10""",165 lbs,S,Fy.,"San Juan, Puerto Rico",Colegio Adianez,,/sports/mens-volleyball/roster/ricardo-fernandez-perez/4055
EasternMennonite,Rey De La Cruz,2,"5'6""",125 lbs,L/DS,So.,"Newport News, Va.",Denbigh,,/sports/mens-volleyball/roster/rey-de-la-cruz/4019
EasternMennonite,Jamaury Starks,4,"5'8""",162 lbs,L/DS,Sr.,"Virginia Beach, Va.",Denbigh,,/sports/mens-volleyball/roster/jamaury-starks/4023
EasternMennonite,James Powell,5,"6'3""",185 lbs,MB,Fy.,"Newport News, Va.",Menchville,,/sports/mens-volleyball/roster/james-powell/4028
EasternMennonite,Ezekiel Awkward,6,"5'11""",140 lbs,OH,Fy.,"Bloomfield, NJ",Bloomfield,,/sports/mens-volleyball/roster/ezekiel-awkward/4030
EasternMennonite,Delan Wright,7,"5'9""",135 lbs,PH,Jr.,"Virginia Beach, Va.",Landstown,,/sports/mens-volleyball/roster/delan-wright/4025
EasternMennonite,Andre Mills,8,"6'4""",175 lbs,OPP,So.,"Fort Lauderdale, Fla.",JP Taravella,,/sports/mens-volleyball/roster/andre-mills/4022
EasternMennonite,Diego Morales Torres,9,"6'0""",159 lbs,S/DS,Fy.,"Ponce, Puerto Rico",Tohopekaliga,,/sports/mens-volleyball/roster/diego-morales-torres/4054
EasternMennonite,Sebastian Clemente,12,"6'1""",200 lbs,OH/DS,Fy.,"Denton, Texas",John H. Guyer,,/sports/mens-volleyball/roster/sebastian-clemente/4026
EasternMennonite,Joel Chamberlain,13,"6'2""",170 lbs,PH,Fy.,"San Jose, Costa Rica",Marian Baker,,/sports/mens-volleyball/roster/joel-chamberlain/4027
EasternMennonite,Bennett de Tenley,15,"6'4""",205 lbs,RS,Fy.,"Cary, NC",Panther Creek,,/sports/mens-volleyball/roster/bennett-de-tenley/4029
EasternMennonite,Daeman Odom,17,"6'6""",175 lbs,MB,Fy.,"Virginia Beach, Va.",Green Run,,/sports/mens-volleyball/roster/daeman-odom/4056
EasternMennonite,Pierce Donnelly,19,"6'6""",225 lbs,OH,So.,"Saint Johns, Fla.",Creekside,,/sports/mens-volleyball/roster/pierce-donnelly/4020
EasternMennonite,Jose Melendez,20,"6'6""",203 lbs,MB,So.,"San Juan, Puerto Rico",Colegio Adianez,,/sports/mens-volleyball/roster/jose-melendez/4021
MIT,Azfal Peermohammed,3,"5'9""",168 lbs,L,Gr.,"Pleasanton, Calif.",Foothill High School,,/sports/mens-volleyball/roster/azfal-peermohammed/13193
MIT,Warren Nam,5,"5'9""",155 lbs,L/DS,Fy.,"Glendale, Calif.",Flintridge Preparatory School,,/sports/mens-volleyball/roster/warren-nam/13191
MIT,Riley Oh,7,"6'3""",185 lbs,S,Sr.,"Irvine, Calif.",Orange Lutheran,,/sports/mens-volleyball/roster/riley-oh/12715
MIT,Ryan Espinoza,8,"6'3""",170 lbs,RS,So.,"Los Angeles, Calif.",Loyola High School,,/sports/mens-volleyball/roster/ryan-espinoza/12712
MIT,Grant Oh,9,"6'4""",190 lbs,OH,Sr.,"Irvine, Calif.",Orange Lutheran,,/sports/mens-volleyball/roster/grant-oh/12714
MIT,Jensen Fiskin,10,"6'4""",175 lbs,S,So.,"Palm Desert, Calif.",Palm Desert High School,,/sports/mens-volleyball/roster/jensen-fiskin/12713
MIT,Kristof Spellen,11,"6'1""",170 lbs,OH,Fy.,"New Rochelle, N.Y.",Iona Preparatory,,/sports/mens-volleyball/roster/kristof-spellen/13185
MIT,Aleks Markovski,12,"6'6""",195 lbs,M,Gr.,"Pleven, Bulgaria",Math School Geo Milev,,/sports/mens-volleyball/roster/aleks-markovski/13360
MIT,Braeden Baker,15,"6'0""",185 lbs,OH,Fy.,"Phoenix, Ariz.",Sandra Day O'Connor,,/sports/mens-volleyball/roster/braeden-baker/13186
MIT,Kevin Windisch,16,"6'1""",165 lbs,L/DS,Jr.,"Placentia, Calif.",Servite,,/sports/mens-volleyball/roster/kevin-windisch/12718
MIT,Canis Li,18,"6'1""",175 lbs,OH,Fy.,"San Jose, Calif.",Valley Christian High School,,/sports/mens-volleyball/roster/canis-li/13189
MIT,Ben Volokh,19,"6'5""",185 lbs,RS/M,Jr.,"Studio City, Calif.",Harvard-Westlake,,/sports/mens-volleyball/roster/ben-volokh/12717
MIT,Hansen Fan,21,"6'5""",185 lbs,M/OH,Fy.,"Center Valley, Pa.",Southern Lehigh High School,,/sports/mens-volleyball/roster/hansen-fan/13187
MIT,Michael Rini,22,"6'7""",195 lbs,M,Jr.,"Huntington Beach, Calif.",Huntington Beach High School,,/sports/mens-volleyball/roster/michael-rini/12716
MIT,Maddox Brandenburg,23,"6'6""",205 lbs,M,Fy.,"Carlsbad, Calif.",La Costa Canyon,,/sports/mens-volleyball/roster/maddox-brandenburg/13183
MIT,Aden Adjei,25,"6'5""",315 lbs,M,So.,"Pooler, Ga.",Savannah Country Day School,,/sports/mens-volleyball/roster/aden-adjei/13238
Nazareth,Gavin Sweet,1,"5'7""",137 lbs,L,So.,"Glenville, NY",Burnt Hills-Ballston Lake,,/sports/mens-volleyball/roster/gavin-sweet/10559
Nazareth,Jack Martin,2,"5'7""",165 lbs,OH/L,Sr.,"Bernhards Bay, NY",Paul V. Moore,,/sports/mens-volleyball/roster/jack-martin/10557
Nazareth,Brendan O'Brien,3,"5'8""",141 lbs,DS/L,Fr.,"Syracuse, NY",Syracuse Institute of Technology,,/sports/mens-volleyball/roster/brendan-o-brien/10562
Nazareth,Owen Wickens,4,"6'2""",180 lbs,OH/L,Sr.,"Rochester, NY",McQuaid Jesuit,,/sports/mens-volleyball/roster/owen-wickens/10561
Nazareth,AJ Burda,5,"6'1""",175 lbs,S,So.,"Fairport, NY",Fairport,,/sports/mens-volleyball/roster/aj-burda/10552
Nazareth,Alex Bertino,6,"6'0""",150 lbs,OH/L,Jr.,"Rochester, NY",Spencerport,,/sports/mens-volleyball/roster/alex-bertino/10550
Nazareth,Jackson Camblin,7,"5'10""",190 lbs,DS/OH,Sr.,"Rochester, NY",Eastridge,,/sports/mens-volleyball/roster/jackson-camblin/10554
Nazareth,Anthony Caimano,8,"6'3""",160 lbs,MB,Jr.,"Liverpool, NY",Liverpool,,/sports/mens-volleyball/roster/anthony-caimano/10553
Nazareth,Max Stuver,9,"6'3""",165 lbs,S/RS,Jr.,"Webster, NY",McQuaid Jesuit,,/sports/mens-volleyball/roster/max-stuver/10558
Nazareth,Joe Seliger,10,"6'0""",150 lbs,OH/L,Fr.,"Cicero, NY",Cicero-North Syracuse,,/sports/mens-volleyball/roster/joe-seliger/10563
Nazareth,Tyler Manchester,11,"5'10""",160 lbs,DS,Fr.,"Binghamton, NY",Maine-Endwell,,/sports/mens-volleyball/roster/tyler-manchester/10567
Nazareth,Josh Weaver,12,"6'3""",180 lbs,S/RS,Jr.,"Clifton Park, NY",Shenendehowa,,/sports/mens-volleyball/roster/josh-weaver/10560
Nazareth,Jonathon Jackson,13,"6'4""",180 lbs,OH/RS,Gr.,"Union Springs, NY",Union Springs,,/sports/mens-volleyball/roster/jonathon-jackson/10556
Nazareth,Andrew Bodensteiner,14,"6'4""",180 lbs,MB,Jr.,"Rochester, NY",Spencerport,,/sports/mens-volleyball/roster/andrew-bodensteiner/10551
Nazareth,Nathan DeJoy,15,"6'6""",175 lbs,MB,So.,"Altamont, NY",Guilderland,,/sports/mens-volleyball/roster/nathan-dejoy/10555
Nazareth,Jake O'Sullivan,16,"6'5""",185 lbs,MB/RS,Jr.,"Rochester, NY",Irondequoit,,/sports/mens-volleyball/roster/jake-o-sullivan/10566
Nazareth,Tristan Henderson,17,"6'7""",215 lbs,RS,Fr.,"East Syracuse, NY",East Syracuse-Minoa,,/sports/mens-volleyball/roster/tristan-henderson/10565
NYU,Sachin Dasari,1,"6'2""",155 lbs,S,Jr.,"Cupertino, CA",Monta Vista,,/sports/mens-volleyball/roster/sachin-dasari/14426
NYU,Dylan Hsu,3,"5'10""",145 lbs,L,Fr.,"La Crescenta, CA",Crescenta Valley,,/sports/mens-volleyball/roster/dylan-hsu/14447
NYU,Zach Knudsen,4,"6'0""",170 lbs,L,Jr.,"Carlsbad, CA",Carlsbad,,/sports/mens-volleyball/roster/zach-knudsen/14430
NYU,Devyn Nguyen,5,"6'2""",170 lbs,S,Fr.,"Sage Creek, CA",Los Gatos,,/sports/mens-volleyball/roster/devyn-nguyen/14436
NYU,Lucas Osiecki,8,"6'5""",180 lbs,OH,Jr.,"Middle Village, NY",Hunter College,,/sports/mens-volleyball/roster/lucas-osiecki/14445
NYU,Luke Boyer,9,"6'6""",170 lbs,OH,Jr.,"Los Angeles, CA",Oakwood,,/sports/mens-volleyball/roster/luke-boyer/14424
NYU,Robert Allen,10,"6'5""",180 lbs,MH,Sr.,"Honolulu, HI",Punahou,,/sports/mens-volleyball/roster/robert-allen/14439
NYU,Jake Upham,12,"6'3""",165 lbs,OH,So.,"Huntington Beach, CA",Huntington Beach,,/sports/mens-volleyball/roster/jake-upham/14442
NYU,Buddy Cohen,13,"6'5""",185 lbs,MH,Jr.,"Newport Beach, CA",Corona del Mar,,/sports/mens-volleyball/roster/buddy-cohen/14443
NYU,Jerry Feng,14,"6'2""",150 lbs,OH,So.,"Freemont, CA",Saint Francis,,/sports/mens-volleyball/roster/jerry-feng/14428
NYU,Ry Kagan,15,"6'6""",190 lbs,MH,Jr.,"Calabasas, CA",Calabasas,,/sports/mens-volleyball/roster/ry-kagan/14441
NYU,Jack Candido,16,"6'4""",175 lbs,RS,Sr.,"Los Angeles, CA",Campbell Hall,,/sports/mens-volleyball/roster/jack-candido/14425
NYU,Angus Ebeling,17,"6'5""",175 lbs,RS,So.,"Venice, CA",Windward School,,/sports/mens-volleyball/roster/angus-ebeling/14427
NYU,Jeremy Li,18,"6'3""",170 lbs,OH,Fr.,"Lake Forest, CA",Mission Viejo,,/sports/mens-volleyball/roster/jeremy-li/14435
NYU,Brian Kellogg,19,"6'6""",185 lbs,RS,Jr.,"Los Altos, CA",St. Francis,,/sports/mens-volleyball/roster/brian-kellogg/14429
NYU,Emerson Evans,20,"6'5""",190 lbs,RS,Fr.,"Huntington Beach, CA",Edison,,/sports/mens-volleyball/roster/emerson-evans/14434
NYU,Ethan Du,21,"6'8""",175 lbs,MH,Fr.,"Hinsdale, IL",Hinsdale Central,,/sports/mens-volleyball/roster/ethan-du/14433
NYU,Matthew Warter,23,"6'4""",190 lbs,OH,Fr.,"Palos Verdes Estates, CA",Palos Verdes,,/sports/mens-volleyball/roster/matthew-warter/14438
NYU,Brian Luu,24,"6'0""",175 lbs,RS,Sr.,"Queens, NY",Bronx Science,,/sports/mens-volleyball/roster/brian-luu/14431
St John Fisher,Connor Holmes,1,"6'4""",180 lbs,MB,So.,"Hamburg, NY",Hamburg,,/sports/mens-volleyball/roster/connor-holmes/13724
St John Fisher,Jimmy Roberts,2,"6'2""",175 lbs,OH,Jr.,"East Amherst, NY",Canisius,,/sports/mens-volleyball/roster/jimmy-roberts/13734
St John Fisher,Tyler Cohen,4,"6'3""",175 lbs,OPP,Sr.,"St. Augustine, FL",St. Augustine,,/sports/mens-volleyball/roster/tyler-cohen/13721
St John Fisher,Casey Jackson,5,"6'1""",190 lbs,OH,Jr.,"Spencerport, NY",Spencerport,,/sports/mens-volleyball/roster/casey-jackson/13726
St John Fisher,Gabe La Robardiere,6,"6'7""",210 lbs,OH,Jr.,"North Syracuse, NY",Cicero-North,,/sports/mens-volleyball/roster/gabe-la-robardiere/13728
St John Fisher,Sonepith Keoviengsamay,7,"6'2""",160 lbs,OH,So.,"Rome, NY",Rome Free Academy,,/sports/mens-volleyball/roster/sonepith-keoviengsamay/13727
St John Fisher,Gavin Newman,8,"6'1""",160 lbs,S,Sr.,"Commack, NY",Commack,,/sports/mens-volleyball/roster/gavin-newman/13730
St John Fisher,Aiden Calhoun,10,"6'0""",155 lbs,S,Jr.,"Burnt Hills, NY",Burnt Hills Ballston Lake,,/sports/mens-volleyball/roster/aiden-calhoun/13720
St John Fisher,Jack DeMaria,11,"5'8""",155 lbs,DS,Jr.,"Bellrose, NY",St. Mary's,,/sports/mens-volleyball/roster/jack-demaria/13722
St John Fisher,Trace La Robardiere,12,"5'10""",150 lbs,L,Sr.,"North Syracuse, NY",Cicero-North Syracuse,,/sports/mens-volleyball/roster/trace-la-robardiere/13729
St John Fisher,Connor Carwile,13,"5'11""",,L,Fr.,"Lexington, KY",Great Crossing,,/sports/mens-volleyball/roster/connor-carwile/13740
St John Fisher,Nick Tarataglia,14,"5'10""",146 lbs,DS,So.,"Greece, NY",Greece Arcadia,,/sports/mens-volleyball/roster/nick-tarataglia/13737
St John Fisher,Coleton Welter,15,"6'4""",,OH,Fr.,"Butler, PA",Butler Area Senior High School,,/sports/mens-volleyball/roster/coleton-welter/13739
St John Fisher,Sam Shutt,16,"6'3""",205 lbs,MB,Sr.,"Rochester, NY",Irondequoit,,/sports/mens-volleyball/roster/sam-shutt/13735
St John Fisher,Ian Rauh,17,"6'3""",195 lbs,MB,Sr.,"Orchard Park, NY",Orchard Park,,/sports/mens-volleyball/roster/ian-rauh/13733
St John Fisher,Alex Quinn,18,"6'4""",185 lbs,MB,So.,"Clarence, NY",Clarence,,/sports/mens-volleyball/roster/alex-quinn/13732
St John Fisher,Evan Ingerick,19,"6'2""",230 lbs,S,Sr.,"Penfield, NY",Penfield,,/sports/mens-volleyball/roster/evan-ingerick/13725
St John Fisher,Guillermo Perez,20,"6'3""",200 lbs,MB,So.,"San Juan, Puarto Rico",The Cupeyville School,,/sports/mens-volleyball/roster/guillermo-perez/13731
St John Fisher,Evan Hernandez,21,"6'3""",,S,Fr.,"Orchard Park, NY",Orchard Park,,/sports/mens-volleyball/roster/evan-hernandez/13738
SUNY New Paltz,Luke Hofer,1,"5'8""",165 lbs,L,Jr.,"Penfield, NY",McQuaid Jesuit High School,,/sports/mens-volleyball/roster/luke-hofer/17793
SUNY New Paltz,Max DeBonis,2,"5'6""",,L,Fr.,"Bay Shore, NY",Bay Shore High School,,/sports/mens-volleyball/roster/max-debonis/17804
SUNY New Paltz,Carter Lotz,3,"6'4""",180 lbs,OH,Sr.,"Port Washington, NY",Paul D. Schreiber Senior High School,,/sports/mens-volleyball/roster/carter-lotz/17797
SUNY New Paltz,Daniel Shanley,4,"6'0""",,S,Jr.,"Smithtown, NY",,,/sports/mens-volleyball/roster/daniel-shanley/17800
SUNY New Paltz,Matt Teplansky,5,"6'3""",185 lbs,OPP,Jr.,"Farmingdale, NY",Farmingdale Senior High School,,/sports/mens-volleyball/roster/matt-teplansky/17802
SUNY New Paltz,Peter Brutschin,6,"6'5""",,MB,Fr.,"Grenville, NY",Greenville High School,,/sports/mens-volleyball/roster/peter-brutschin/17803
SUNY New Paltz,Michael Spiegel,7,"6'5""",175 lbs,OPP,So.,"Webster, NY",McQuaid Jesuit High School,,/sports/mens-volleyball/roster/michael-spiegel/17801
SUNY New Paltz,Geoff Ndoria,8,"6'4""",185 lbs,OH,So.,"Ronkonkama, NY",Sachem North High School,,/sports/mens-volleyball/roster/geoff-ndoria/17799
SUNY New Paltz,Artair Kayser,9,"6'4""",,MB,Fr.,"Orangeburg, NY",Tappan Zee High School,,/sports/mens-volleyball/roster/artair-kayser/17805
SUNY New Paltz,Nikko Tenedorio,10,"6'1""",,OH,Fr.,"Bay Shore, NY",Bay Shore High School,,/sports/mens-volleyball/roster/nikko-tenedorio/17807
SUNY New Paltz,Krish Jain,11,"6'6""",200 lbs,MB,Jr.,"Hicksville, NY",Hicksville High School,,/sports/mens-volleyball/roster/krish-jain/17794
SUNY New Paltz,Christopher Larkin,12,"6'3""",185 lbs,OH,Gr.,"Westfield, NJ",Saint Peter's Prep High School,,/sports/mens-volleyball/roster/christopher-larkin/17796
SUNY New Paltz,Mike Handell,13,"6'5""",190 lbs,MB,Jr.,"Wantagh, NY",Wantagh Senior High School,,/sports/mens-volleyball/roster/mike-handell/17792
SUNY New Paltz,Tristan Rezza,15,"6'3""",,MB,Fr.,"Massapequa, NY",Massapequa High School,,/sports/mens-volleyball/roster/tristan-rezza/17806
SUNY New Paltz,Matt Marusza,17,"6'2""",,S,So.,"Orchard Park, NY",Canisius High School,,/sports/mens-volleyball/roster/matt-marusza/17798
SUNY New Paltz,Matt Kudlinski,19,"6'3""",200 lbs,OH,So.,"Suffern, NY",Suffern High School,,/sports/mens-volleyball/roster/matt-kudlinski/17795
Vassar,Nick Villamil,1,"6'6""",175 lbs,S,Sr.,"Pembroke Pines, FL",Archbishop McCarthy,,/sports/mens-volleyball/roster/nick-villamil/12563
Vassar,Tucker Shearn,3,"5'10""",,L,So.,"Englewood, CO",Valor Christian,,/sports/mens-volleyball/roster/tucker-shearn/12561
Vassar,Parker Schoenl,4,"6'2""",,S,So.,"West Henrietta, NY",Rush-Henrietta Senior,,/sports/mens-volleyball/roster/parker-schoenl/12560
Vassar,Enzo Bertini,5,"6'1""",,OH,So.,"New York, NY",Columbia Grammar and Preparatory School,,/sports/mens-volleyball/roster/enzo-bertini/12550
Vassar,Tristan Christofferson,7,"6'4""",,OH,Jr.,"Denver, CO",Regis Jesuit,,/sports/mens-volleyball/roster/tristan-christofferson/12553
